Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: cat
Parent(s): cat_015.dat cat_013.dat cat_017.dat cat_011.dat
  1.003030e+00   2.018310e+00   6.348660e-02
  1.005760e+00   2.025520e+00   6.323680e-02
  1.008500e+00   1.987240e+00   6.357600e-02
  1.011230e+00   2.051060e+00   6.377470e-02
  1.013970e+00   2.041000e+00   6.263780e-02
  1.016700e+00   1.918900e+00   6.380820e-02
  1.019430e+00   1.960640e+00   6.374820e-02
  1.022170e+00   1.955660e+00   6.293350e-02
  1.024900e+00   1.972290e+00   6.363300e-02
  1.027640e+00   1.874180e+00   6.181010e-02
  1.030370e+00   1.923650e+00   6.371450e-02
  1.033100e+00   1.992130e+00   6.312650e-02
  1.035840e+00   1.866690e+00   6.307900e-02
  1.038570e+00   1.795350e+00   6.351880e-02
  1.041310e+00   1.804470e+00   6.288100e-02
  1.044040e+00   1.888790e+00   6.394100e-02
  1.046770e+00   1.868010e+00   6.231480e-02
  1.049510e+00   1.881630e+00   6.304890e-02
  1.052240e+00   1.697710e+00   6.234220e-02
  1.054980e+00   1.724540e+00   6.238350e-02
  1.057710e+00   1.749940e+00   6.268840e-02
  1.060440e+00   1.721260e+00   6.220490e-02
  1.063180e+00   1.777190e+00   6.284740e-02
  1.065910e+00   1.724670e+00   6.166670e-02
  1.068650e+00   1.757840e+00   6.213530e-02
  1.071380e+00   1.677940e+00   6.278850e-02
  1.074110e+00   1.697680e+00   6.184580e-02
  1.076850e+00   1.746030e+00   6.297650e-02
  1.079580e+00   1.731750e+00   6.197600e-02
  1.082320e+00   1.687990e+00   6.211730e-02
  1.085050e+00   1.640090e+00   6.237460e-02
  1.087790e+00   1.659410e+00   6.195580e-02
  1.090520e+00   1.670730e+00   6.295260e-02
  1.093250e+00   1.593260e+00   6.189420e-02
  1.095990e+00   1.605030e+00   6.199540e-02
  1.098720e+00   1.667780e+00   6.264400e-02
  1.101460e+00   1.585500e+00   6.198600e-02
  1.104190e+00   1.585730e+00   6.160110e-02
  1.106920e+00   1.544520e+00   6.174370e-02
  1.109660e+00   1.611740e+00   6.181930e-02
  1.112390e+00   1.621890e+00   6.233720e-02
  1.115130e+00   1.636910e+00   6.144120e-02
  1.117860e+00   1.587400e+00   6.174010e-02
  1.120590e+00   1.567710e+00   6.204180e-02
  1.123330e+00   1.672400e+00   6.180410e-02
  1.126060e+00   1.577910e+00   6.248820e-02
  1.128800e+00   1.497460e+00   6.111540e-02
  1.131530e+00   1.605170e+00   6.216460e-02
  1.134260e+00   1.536310e+00   6.189400e-02
  1.137000e+00   1.504800e+00   6.102940e-02
  1.139730e+00   1.502350e+00   6.126740e-02
  1.142470e+00   1.469960e+00   6.169750e-02
  1.145200e+00   1.592750e+00   6.209140e-02
  1.147930e+00   1.541920e+00   6.177410e-02
  1.150670e+00   1.434540e+00   6.138480e-02
  1.153400e+00   1.582940e+00   6.208250e-02
  1.156140e+00   1.561200e+00   6.143410e-02
  1.158870e+00   1.439330e+00   6.113810e-02
  1.161600e+00   1.501810e+00   6.146760e-02
  1.164340e+00   1.453950e+00   6.126280e-02
  1.167070e+00   1.380510e+00   6.163860e-02
  1.169810e+00   1.450520e+00   6.126480e-02
  1.172540e+00   1.438790e+00   6.118880e-02
  1.175270e+00   1.470480e+00   6.112870e-02
  1.178010e+00   1.535620e+00   6.148760e-02
  1.180740e+00   1.440450e+00   6.151070e-02
  1.183480e+00   1.420600e+00   6.103400e-02
  1.186210e+00   1.379620e+00   6.076340e-02
  1.188940e+00   1.382430e+00   6.130840e-02
  1.191680e+00   1.380360e+00   6.103860e-02
  1.194410e+00   1.348230e+00   6.147840e-02
  1.197150e+00   1.439590e+00   6.068120e-02
  1.199880e+00   1.369230e+00   6.057670e-02
  1.202620e+00   1.355790e+00   6.073170e-02
  1.205350e+00   1.420540e+00   6.053340e-02
  1.208080e+00   1.364840e+00   6.082060e-02
  1.210820e+00   1.385380e+00   6.068000e-02
  1.213550e+00   1.335040e+00   6.112600e-02
  1.216290e+00   1.375830e+00   6.127030e-02
  1.219020e+00   1.342010e+00   6.050730e-02
  1.221750e+00   1.352370e+00   6.101870e-02
  1.224490e+00   1.240610e+00   6.039770e-02
  1.227220e+00   1.221780e+00   6.073890e-02
  1.229960e+00   1.224440e+00   6.470340e-02
  1.232690e+00   1.254250e+00   6.639000e-02
  1.238160e+00   1.244020e+00   6.805300e-02
  1.240890e+00   1.391680e+00   7.054820e-02
  1.243630e+00   1.258720e+00   7.213150e-02
  1.246360e+00   1.328480e+00   7.221280e-02
  1.249090e+00   1.285480e+00   7.323170e-02
  1.251830e+00   1.254940e+00   7.522530e-02
  1.254560e+00   1.171370e+00   7.449110e-02
  1.257300e+00   1.141340e+00   7.547920e-02
  1.260030e+00   1.348140e+00   7.856300e-02
  1.262760e+00   1.258890e+00   7.968820e-02
  1.265500e+00   1.259840e+00   7.207140e-02
  1.268230e+00   1.246490e+00   6.950180e-02
  1.270970e+00   1.008950e+00   6.774190e-02
  1.273700e+00   1.241080e+00   6.788640e-02
  1.276430e+00   1.199010e+00   6.657910e-02
