Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 1.137960e+000  5.517173e+002  1.049310e+001
 1.140720e+000  5.641236e+002  1.055526e+001
 1.143470e+000  5.650601e+002  1.052784e+001
 1.146230e+000  5.486509e+002  1.049116e+001
 1.148990e+000  5.569822e+002  1.047019e+001
 1.151740e+000  5.504857e+002  1.041205e+001
 1.154500e+000  5.504503e+002  1.040740e+001
 1.157250e+000  5.333089e+002  1.038479e+001
 1.160010e+000  5.317605e+002  1.029749e+001
 1.162770e+000  5.570567e+002  1.037344e+001
 1.165520e+000  5.361418e+002  1.033370e+001
 1.168280e+000  5.256879e+002  1.027045e+001
 1.171040e+000  5.566208e+002  1.034590e+001
 1.173790e+000  5.430306e+002  1.027309e+001
 1.176550e+000  5.350251e+002  1.030151e+001
 1.179310e+000  5.190202e+002  1.022656e+001
 1.182060e+000  5.463928e+002  1.024793e+001
 1.184820e+000  5.384581e+002  1.021724e+001
 1.187580e+000  5.246026e+002  1.023125e+001
 1.190330e+000  5.458330e+002  1.021040e+001
 1.193090e+000  5.355272e+002  1.019894e+001
 1.195840e+000  5.197460e+002  1.014607e+001
 1.198600e+000  5.042726e+002  1.017012e+001
 1.201360e+000  5.084598e+002  1.010447e+001
 1.204110e+000  5.200652e+002  1.007175e+001
 1.206870e+000  5.184151e+002  1.012245e+001
 1.209630e+000  4.970481e+002  9.996263e+000
 1.212380e+000  5.051850e+002  1.008458e+001
 1.215140e+000  4.932946e+002  1.002609e+001
 1.217900e+000  4.885591e+002  9.955635e+000
 1.220650e+000  4.932296e+002  1.004046e+001
 1.223410e+000  5.042186e+002  9.927537e+000
 1.226170e+000  4.825825e+002  9.991811e+000
 1.228920e+000  4.874676e+002  9.940938e+000
 1.231680e+000  4.767789e+002  9.927118e+000
 1.234440e+000  4.925345e+002  9.972104e+000
 1.237190e+000  4.870145e+002  9.886117e+000
 1.239950e+000  4.764607e+002  9.974188e+000
 1.242700e+000  4.784411e+002  9.889993e+000
 1.245460e+000  4.806124e+002  9.934668e+000
 1.248220e+000  4.720774e+002  9.936683e+000
 1.250970e+000  4.796718e+002  9.838119e+000
 1.253730e+000  4.708142e+002  9.935765e+000
 1.256490e+000  4.624718e+002  9.858693e+000
 1.259240e+000  4.674161e+002  9.906870e+000
 1.262000e+000  4.653512e+002  9.870557e+000
 1.264760e+000  4.613620e+002  9.815766e+000
 1.267510e+000  4.743714e+002  9.883318e+000
 1.270270e+000  4.682196e+002  9.791227e+000
 1.273030e+000  4.589154e+002  9.825918e+000
 1.275780e+000  4.706592e+002  9.803191e+000
 1.278540e+000  4.520638e+002  9.761136e+000
 1.281290e+000  4.653054e+002  9.855722e+000
 1.284050e+000  4.277426e+002  9.709676e+000
 1.286810e+000  4.595559e+002  9.783447e+000
 1.289560e+000  4.355552e+002  9.721826e+000
 1.292320e+000  4.227452e+002  9.707647e+000
 1.295080e+000  4.241632e+002  9.742267e+000
 1.297830e+000  4.485369e+002  9.662042e+000
 1.300590e+000  4.479396e+002  9.753913e+000
 1.303350e+000  4.352368e+002  9.661730e+000
 1.306100e+000  4.359512e+002  9.673837e+000
 1.308860e+000  4.214345e+002  9.662740e+000
 1.311620e+000  4.469870e+002  9.654899e+000
 1.314370e+000  4.250669e+002  9.659284e+000
 1.317130e+000  4.344033e+002  9.638410e+000
 1.319880e+000  4.149660e+002  9.616983e+000
 1.322640e+000  3.921222e+002  9.558258e+000
 1.325400e+000  4.373102e+002  9.595066e+000
 1.328150e+000  4.121654e+002  9.602610e+000
 1.330910e+000  4.045847e+002  9.546341e+000
 1.333670e+000  4.194815e+002  9.605069e+000
 1.336420e+000  3.950261e+002  9.461829e+000
 1.339180e+000  4.114352e+002  9.586054e+000
 1.341940e+000  4.109423e+002  9.494067e+000
 1.344690e+000  4.083695e+002  9.506019e+000
 1.347450e+000  3.955305e+002  9.523294e+000
 1.350210e+000  4.125084e+002  9.491932e+000
 1.352960e+000  4.039983e+002  9.513396e+000
 1.355720e+000  3.955236e+002  9.412824e+000
 1.358470e+000  4.170460e+002  9.513618e+000
 1.361230e+000  3.956492e+002  9.468532e+000
 1.363990e+000  3.956468e+002  9.417116e+000
 1.366740e+000  3.995089e+002  9.488196e+000
 1.369500e+000  3.919945e+002  9.371024e+000
 1.372260e+000  3.869509e+002  9.422657e+000
 1.375010e+000  3.839015e+002  9.435358e+000
 1.377770e+000  3.826003e+002  9.430885e+000
 1.380530e+000  3.827069e+002  9.628985e+000
 1.383280e+000  3.836197e+002  9.625144e+000
 1.386040e+000  3.693296e+002  9.781615e+000
 1.388800e+000  3.895607e+002  9.735448e+000
 1.391550e+000  3.862780e+002  9.791457e+000
 1.394310e+000  3.642330e+002  9.908153e+000
 1.397060e+000  3.661957e+002  9.802790e+000
 1.399820e+000  3.556469e+002  9.996901e+000
 1.402580e+000  3.733858e+002  9.873719e+000
 1.405330e+000  3.589804e+002  9.974151e+000
 1.408090e+000  3.470172e+002  9.993637e+000
 1.410850e+000  3.675040e+002  9.994603e+000
 1.413600e+000  3.611358e+002  1.013030e+001
 1.416360e+000  3.710307e+002  1.001858e+001
 1.419120e+000  3.395178e+002  1.009482e+001
 1.421870e+000  3.527430e+002  1.013115e+001
 1.424630e+000  3.473229e+002  1.008044e+001
 1.427390e+000  3.472829e+002  1.015066e+001
 1.430140e+000  3.565376e+002  1.013098e+001
 1.432900e+000  3.612845e+002  1.023808e+001
 1.435660e+000  3.352087e+002  1.006472e+001
 1.438410e+000  3.383587e+002  9.920867e+000
 1.441170e+000  3.441719e+002  9.921100e+000
 1.443920e+000  3.317483e+002  9.783336e+000
 1.446680e+000  3.340898e+002  9.793313e+000
 1.449440e+000  3.163498e+002  9.661605e+000
 1.452190e+000  3.274476e+002  9.676135e+000
 1.454950e+000  3.179641e+002  9.611087e+000
 1.457710e+000  3.356009e+002  9.565350e+000
 1.460460e+000  3.433084e+002  9.587842e+000
 1.463220e+000  3.357934e+002  9.482923e+000
 1.465980e+000  3.205922e+002  9.530936e+000
 1.468730e+000  3.330536e+002  9.485972e+000
 1.471490e+000  3.218191e+002  9.437695e+000
 1.474250e+000  3.223942e+002  9.437557e+000
 1.477000e+000  3.131918e+002  9.391320e+000
 1.479760e+000  2.969876e+002  9.462850e+000
 1.482510e+000  3.024729e+002  9.325670e+000
 1.485270e+000  3.183182e+002  9.338902e+000
 1.488030e+000  3.140139e+002  9.380103e+000
 1.490780e+000  2.993988e+002  9.324717e+000
 1.493540e+000  3.095454e+002  9.355941e+000
 1.496300e+000  2.889224e+002  9.252232e+000
 1.499050e+000  2.953436e+002  9.314383e+000
 1.501810e+000  3.044931e+002  9.273840e+000
 1.504570e+000  3.010150e+002  9.248179e+000
 1.507320e+000  2.978089e+002  9.261667e+000
 1.510080e+000  3.050290e+002  9.211101e+000
 1.512840e+000  2.990349e+002  9.294878e+000
 1.515590e+000  3.106184e+002  9.221146e+000
 1.518350e+000  2.946912e+002  9.208389e+000
 1.521100e+000  2.857300e+002  9.212116e+000
 1.523860e+000  2.875214e+002  9.135735e+000
 1.526620e+000  2.954069e+002  9.238552e+000
 1.529370e+000  2.861584e+002  9.129240e+000
 1.532130e+000  2.911164e+002  9.167256e+000
 1.534890e+000  2.979588e+002  9.170453e+000
 1.537640e+000  2.853743e+002  9.119308e+000
 1.540400e+000  2.835790e+002  9.095837e+000
 1.543160e+000  2.752072e+002  9.048584e+000
 1.545910e+000  2.645364e+002  9.121493e+000
 1.548670e+000  2.912885e+002  9.064281e+000
 1.551430e+000  2.686820e+002  9.049755e+000
 1.554180e+000  2.818468e+002  9.093959e+000
 1.556940e+000  2.578303e+002  9.025121e+000
 1.559690e+000  2.665008e+002  9.032693e+000
 1.562450e+000  2.615739e+002  8.989231e+000
 1.565210e+000  2.657261e+002  8.998776e+000
 1.567960e+000  2.726036e+002  9.000727e+000
 1.570720e+000  2.561090e+002  8.982188e+000
 1.573480e+000  2.508421e+002  9.005287e+000
 1.576230e+000  2.423886e+002  8.885700e+000
 1.578990e+000  2.540563e+002  8.974043e+000
 1.581750e+000  2.550765e+002  8.934478e+000
 1.584500e+000  2.462956e+002  8.935363e+000
 1.587260e+000  2.421171e+002  8.920958e+000
 1.590020e+000  2.479453e+002  8.884566e+000
 1.592770e+000  2.484150e+002  8.911699e+000
 1.595530e+000  2.548939e+002  8.855089e+000
 1.598280e+000  2.440958e+002  8.896520e+000
 1.601040e+000  2.680172e+002  8.899780e+000
 1.603800e+000  2.349759e+002  8.835899e+000
 1.606550e+000  2.310126e+002  8.877937e+000
 1.609310e+000  2.340405e+002  8.818420e+000
 1.612070e+000  2.334480e+002  8.824955e+000
 1.614820e+000  2.242592e+002  8.831266e+000
 1.617580e+000  2.333517e+002  8.783725e+000
 1.620340e+000  2.299603e+002  8.848394e+000
 1.623090e+000  2.334425e+002  8.758908e+000
 1.625850e+000  2.221587e+002  8.778074e+000
 1.628610e+000  2.156243e+002  8.722219e+000
 1.631360e+000  2.233280e+002  8.785496e+000
 1.634120e+000  2.165249e+002  8.721514e+000
 1.636880e+000  2.296346e+002  8.738111e+000
 1.639630e+000  2.321347e+002  8.779880e+000
 1.642390e+000  2.258349e+002  8.701242e+000
 1.645140e+000  2.257338e+002  8.723175e+000
 1.647900e+000  2.136182e+002  8.682147e+000
 1.650660e+000  2.219936e+002  8.670746e+000
 1.653410e+000  2.212388e+002  8.693712e+000
 1.656170e+000  2.288731e+002  8.632623e+000
 1.658930e+000  2.155242e+002  8.678781e+000
 1.661680e+000  2.173102e+002  8.603560e+000
 1.664440e+000  2.026958e+002  8.620852e+000
 1.667200e+000  2.049928e+002  8.670559e+000
 1.669950e+000  2.003734e+002  8.554260e+000
 1.672710e+000  2.121526e+002  8.636246e+000
