Sample:   c= 8.5500 mg/ml  Code: 
Parent(s): C:/Maxim/Waxs_water_consensus/Comparall/Bsa/bsa_secwaxs_20170423c.dat C:/Maxim/Waxs_water_consensus/Comparall/Bsa/bsa0_hepesbsa0_0018.dat
 2.198900e+000  2.836641e-001  4.006728e-003
 2.203510e+000  2.817597e-001  1.881750e-002
 2.208630e+000  2.843268e-001  4.001731e-003
 2.214060e+000  2.747994e-001  1.895219e-002
 2.218360e+000  2.796100e-001  3.987699e-003
 2.224620e+000  3.133832e-001  1.877871e-002
 2.228090e+000  2.740553e-001  3.955394e-003
 2.235170e+000  3.060514e-001  1.874800e-002
 2.237820e+000  2.627121e-001  3.947428e-003
 2.247550e+000  2.648404e-001  3.932288e-003
 2.257280e+000  2.593260e-001  3.948560e-003
 2.267020e+000  2.600343e-001  3.919654e-003
 2.276750e+000  2.511608e-001  3.870191e-003
 2.286480e+000  2.577588e-001  3.894243e-003
 2.296210e+000  2.466725e-001  3.888096e-003
 2.305940e+000  2.502226e-001  3.867492e-003
 2.315670e+000  2.370262e-001  3.838744e-003
 2.325400e+000  2.434714e-001  3.883652e-003
 2.335130e+000  2.389918e-001  3.868558e-003
 2.344860e+000  2.324243e-001  3.816866e-003
 2.354600e+000  2.316838e-001  3.832307e-003
 2.364330e+000  2.301860e-001  3.811746e-003
 2.374060e+000  2.162382e-001  3.820525e-003
 2.383790e+000  2.136262e-001  3.797471e-003
 2.393520e+000  2.129067e-001  3.772550e-003
 2.403250e+000  2.174003e-001  3.779588e-003
 2.412980e+000  2.020415e-001  3.764672e-003
 2.422710e+000  2.086129e-001  3.745359e-003
 2.432440e+000  2.032075e-001  3.733930e-003
 2.442170e+000  2.013844e-001  3.727324e-003
 2.451910e+000  1.960761e-001  3.718735e-003
 2.461640e+000  1.982920e-001  3.702404e-003
 2.471370e+000  1.950037e-001  3.696277e-003
 2.481100e+000  1.953349e-001  3.671577e-003
 2.490830e+000  1.962247e-001  3.682080e-003
 2.500560e+000  1.846607e-001  3.664098e-003
 2.510290e+000  1.891178e-001  3.662122e-003
 2.520020e+000  1.800176e-001  3.617067e-003
 2.529750e+000  1.901443e-001  3.640737e-003
 2.539490e+000  1.862209e-001  3.650385e-003
 2.549220e+000  1.832628e-001  3.605008e-003
 2.558950e+000  1.845181e-001  3.607875e-003
 2.568680e+000  1.791792e-001  3.606123e-003
 2.578410e+000  1.795896e-001  3.602856e-003
 2.588140e+000  1.799829e-001  3.603627e-003
