Sample description: Apoferritin_1_ball extrapolated to I(0)
Sample: extrapolated  c= 1 mg/ml  Code: extrapolated
 8.178667e-002  2.696922e-002  2.427296e-004
 8.216810e-002  2.638970e-002  2.414679e-004
 8.254953e-002  2.668962e-002  2.426831e-004
 8.293096e-002  2.721292e-002  2.439762e-004
 8.331253e-002  2.614156e-002  2.410923e-004
 8.369396e-002  2.671908e-002  2.396643e-004
 8.407540e-002  2.623527e-002  2.386603e-004
 8.445683e-002  2.702841e-002  2.413444e-004
 8.483826e-002  2.673161e-002  2.401635e-004
 8.521983e-002  2.628493e-002  2.380018e-004
 8.560126e-002  2.619253e-002  2.370001e-004
 8.598269e-002  2.667983e-002  2.399308e-004
 8.636413e-002  2.607522e-002  2.360353e-004
 8.674570e-002  2.675478e-002  2.356632e-004
 8.712713e-002  2.660163e-002  2.365361e-004
 8.750856e-002  2.679289e-002  2.378140e-004
 8.788999e-002  2.656996e-002  2.387015e-004
 8.827156e-002  2.674678e-002  2.352098e-004
 8.865299e-002  2.675423e-002  2.365039e-004
 8.903443e-002  2.650922e-002  2.343014e-004
 8.941586e-002  2.655771e-002  2.356337e-004
 8.979743e-002  2.699029e-002  2.358603e-004
 9.017886e-002  2.678372e-002  2.344044e-004
 9.056029e-002  2.713048e-002  2.370311e-004
 9.094172e-002  2.668423e-002  2.331501e-004
 9.132316e-002  2.705921e-002  2.345097e-004
 9.170473e-002  2.693968e-002  2.343999e-004
 9.208616e-002  2.707954e-002  2.345978e-004
 9.246759e-002  2.684386e-002  2.343928e-004
 9.284902e-002  2.718823e-002  2.331800e-004
 9.323059e-002  2.746803e-002  2.339760e-004
 9.361202e-002  2.723018e-002  2.355232e-004
 9.399346e-002  2.791157e-002  2.343938e-004
 9.437489e-002  2.781193e-002  2.385819e-004
 9.475646e-002  2.776798e-002  2.327452e-004
 9.513789e-002  2.768435e-002  2.344952e-004
 9.551932e-002  2.752021e-002  2.331385e-004
 9.590075e-002  2.763362e-002  2.333551e-004
 9.628219e-002  2.805683e-002  2.342139e-004
 9.666376e-002  2.820553e-002  2.337912e-004
 9.704519e-002  2.808132e-002  2.357694e-004
 9.742662e-002  2.818289e-002  2.340865e-004
 9.780805e-002  2.821300e-002  2.347338e-004
 9.818962e-002  2.850173e-002  2.344968e-004
 9.857105e-002  2.843517e-002  2.334519e-004
 9.895249e-002  2.817336e-002  2.341771e-004
 9.933392e-002  2.868570e-002  2.324501e-004
 9.971549e-002  2.896799e-002  2.356290e-004
 1.000969e-001  2.835811e-002  2.330078e-004
 1.004784e-001  2.934248e-002  2.363717e-004
 1.008598e-001  2.917049e-002  2.358063e-004
 1.012412e-001  2.908162e-002  2.326753e-004
 1.016228e-001  2.954242e-002  2.371757e-004
 1.020042e-001  2.936814e-002  2.344430e-004
 1.023856e-001  2.868078e-002  2.325554e-004
 1.027671e-001  2.952606e-002  2.346963e-004
 1.031487e-001  2.937269e-002  2.324805e-004
 1.035301e-001  2.941089e-002  2.353700e-004
 1.039115e-001  2.965752e-002  2.340978e-004
 1.042929e-001  2.966517e-002  2.337580e-004
 1.046745e-001  2.969066e-002  2.344763e-004
 1.050560e-001  2.999466e-002  2.340691e-004
 1.054374e-001  3.017627e-002  2.365112e-004
 1.058188e-001  3.038356e-002  2.338790e-004
 1.062004e-001  2.984629e-002  2.330035e-004
 1.065818e-001  3.063941e-002  2.363249e-004
 1.069632e-001  3.031927e-002  2.344772e-004
 1.073447e-001  3.045609e-002  2.363566e-004
 1.077261e-001  3.081005e-002  2.337182e-004
 1.081077e-001  3.050809e-002  2.349628e-004
 1.084891e-001  3.054087e-002  2.335245e-004
 1.088705e-001  3.070287e-002  2.347427e-004
 1.092520e-001  3.081011e-002  2.343127e-004
 1.096335e-001  3.085037e-002  2.336345e-004
 1.100150e-001  3.040002e-002  2.333428e-004
 1.103964e-001  3.120483e-002  2.347356e-004
 1.107778e-001  3.072101e-002  2.329087e-004
 1.111594e-001  3.105957e-002  2.371997e-004
 1.115408e-001  3.125251e-002  2.419769e-004
 1.119223e-001  3.141380e-002  2.451064e-004
 1.123037e-001  3.107759e-002  2.431278e-004
 1.126851e-001  3.140760e-002  2.483610e-004
 1.130667e-001  3.067470e-002  2.446239e-004
 1.134481e-001  3.109565e-002  2.482415e-004
 1.138296e-001  3.132639e-002  2.514494e-004
 1.142110e-001  3.136349e-002  2.490264e-004
 1.145926e-001  3.129376e-002  2.527804e-004
 1.149740e-001  3.129020e-002  2.500098e-004
 1.153554e-001  3.116946e-002  2.537627e-004
 1.157369e-001  3.107286e-002  2.532198e-004
 1.161184e-001  3.142648e-002  2.533158e-004
 1.164999e-001  3.141182e-002  2.568792e-004
 1.168813e-001  3.112415e-002  2.528330e-004
 1.172627e-001  3.181165e-002  2.605500e-004
 1.176442e-001  3.129331e-002  2.556281e-004
 1.180257e-001  3.117476e-002  2.574581e-004
 1.184072e-001  3.137902e-002  2.581434e-004
 1.187886e-001  3.091256e-002  2.546767e-004
 1.191700e-001  3.161231e-002  2.611696e-004
 1.195516e-001  3.117533e-002  2.523016e-004
 1.199330e-001  3.120230e-002  2.496584e-004
 1.203145e-001  3.136532e-002  2.491745e-004
 1.206959e-001  3.148079e-002  2.449663e-004
 1.210775e-001  3.130309e-002  2.469791e-004
 1.214589e-001  3.099879e-002  2.416403e-004
 1.218403e-001  3.134198e-002  2.441598e-004
 1.222218e-001  3.072022e-002  2.385070e-004
 1.226032e-001  3.127642e-002  2.412956e-004
 1.229848e-001  3.143320e-002  2.411313e-004
 1.233662e-001  3.164940e-002  2.403136e-004
 1.237476e-001  3.128128e-002  2.396628e-004
 1.241291e-001  3.108463e-002  2.358350e-004
 1.245106e-001  3.099150e-002  2.371852e-004
 1.248921e-001  3.127134e-002  2.371492e-004
 1.252735e-001  3.120363e-002  2.359244e-004
 1.256549e-001  3.127233e-002  2.357040e-004
 1.260365e-001  3.104863e-002  2.334417e-004
 1.264179e-001  3.107891e-002  2.364185e-004
 1.267994e-001  3.063951e-002  2.370673e-004
 1.271808e-001  3.018783e-002  2.351901e-004
 1.275624e-001  3.092484e-002  2.430586e-004
 1.279438e-001  3.094031e-002  2.410234e-004
 1.283252e-001  3.080730e-002  2.444716e-004
 1.287067e-001  3.055305e-002  2.419897e-004
 1.290881e-001  3.075415e-002  2.453511e-004
 1.294697e-001  3.083217e-002  2.460753e-004
 1.298511e-001  3.025276e-002  2.428003e-004
 1.302325e-001  3.040226e-002  2.470015e-004
 1.306140e-001  3.057326e-002  2.442191e-004
 1.309955e-001  3.013671e-002  2.426045e-004
 1.313770e-001  3.037078e-002  2.368961e-004
 1.317584e-001  3.039637e-002  2.342900e-004
 1.321398e-001  3.032287e-002  2.348564e-004
 1.325214e-001  3.039415e-002  2.313165e-004
 1.329028e-001  3.035014e-002  2.311490e-004
 1.332843e-001  2.959387e-002  2.264358e-004
